Timestamp,Tote Number,Tote Description,Tote Location,Item Name,Category,Condition or Status,ISBN,Notes,Item Photo,QTY,Expiration Date if One
8/23/2025 22:39:50,Bin #01,Utensil Bin,,Utensil Box - Multi Colored ,Camping & Outdoors,,,"Each one has a knife, fork and spoon",,6,
8/23/2025 22:40:14,Bin #01,Utensil Bin,,Salt and Paper,Misc,,,,,1,
8/23/2025 22:40:38,Bin #01,Utensil Bin,,Lemon Juice,Misc,,,,,1,
8/23/2025 22:41:06,Bin #01,Utensil Bin,,Garbage Bag,Camping & Outdoors,,,,,2,
8/23/2025 22:41:36,Bin #01,Utensil Bin,,Fillet Knife,Camping & Outdoors,,,,,1,
8/23/2025 22:44:07,Bin #02,Cleaning Bin,,Small Microfiber Towel - in bag,Camping & Outdoors,,,Compact and in own Bag,,4,
8/23/2025 22:44:42,Bin #02,Cleaning Bin,,Large Microfiber Towel - in bag,Camping & Outdoors,,,Compact and in own Bag,,4,
8/23/2025 22:45:13,Bin #02,Cleaning Bin,,Scrub Sponge,Misc,,,,,1,
8/23/2025 22:45:45,Bin #02,Cleaning Bin,,Hand Soap - in bag,Misc,,,,,1,
8/23/2025 22:46:15,Bin #02,Cleaning Bin,,Soap Bar - in bag,Misc,,,Red Container,,1,
8/23/2025 22:46:54,Bin #02,Cleaning Bin,,Dish Soap - in bag,Misc,,,Dawn Blue,,1,
8/23/2025 22:47:28,Bin #02,Cleaning Bin,,Flushable Wipes - Amazon Basics,Misc,Unopened,,,,1,
8/23/2025 22:53:24,Bin #03,Batteries/Lights Bin,,Lantern - Rechargable,Misc,,,USB-C,,1,
8/23/2025 22:54:10,Bin #03,Batteries/Lights Bin,,Light Bar - Rechargeable,Tech & Media,,,USB-C,,1,
8/23/2025 22:54:42,Bin #03,Batteries/Lights Bin,,Battery Head Lamps,Misc,,,AAA Batteries,,3,
8/23/2025 22:55:09,Bin #03,Batteries/Lights Bin,,Head Lamp - Rechargeable,Misc,,,In Own Case,,1,
8/23/2025 22:56:12,Bin #03,Batteries/Lights Bin,,AAA Batteries - Case in bag,Misc,,,3D Printed Case,,~10,
8/23/2025 22:56:51,Bin #03,Batteries/Lights Bin,,AA Batteries - Case in Bag,Misc,,,3D Printed Case,,~10,
8/23/2025 23:26:42,Bin #04,Toiletry Bin,,Wipes - Flushable,Misc,Unopened,,Amazon Basics,,1,
8/23/2025 23:27:52,Bin #04,Toiletry Bin,,Toilet Waste Bags - Double Doodie,Misc,,,Bags have Chemical Bead inside,,4,
8/23/2025 23:28:30,Bin #04,Toiletry Bin,,Port-a-potty Chemicals,Misc,,,,,2,
7/18/2025 12:59:17,Book Box #1,James Office Books,Uhaul Unit #AA5929N,Wizardology,Books,,9780763628956,Hardback,,1,
7/18/2025 13:01:18,Book Box #1,James Office Books,Uhaul Unit #AA5929N,Dragonology,Books,,9780763623296,Hardback,,1,
7/18/2025 13:02:50,Book Box #1,James Office Books,Uhaul Unit #AA5929N,The Art of The Lord of the Rings by J.R.R. Tolkien,Books,,9780544636347,Hard Back,,1,
7/18/2025 13:04:07,Book Box #1,James Office Books,Uhaul Unit #AA5929N,"Norse Myths Tales of Odin, Thor, and Loki",Books,,9780763695002,Hardback,,1,
7/18/2025 13:06:55,Book Box #1,James Office Books,Uhaul Unit #AA5929N,The Heart of the Dragon,Books,,0-395-35336-X,Hardback,,1,
7/18/2025 13:08:50,Book Box #1,James Office Books,Uhaul Unit #AA5929N,Swords of the Viking Age - Ian Peirce,Books,,978-1-84383-089-4,softback,,1,
7/18/2025 13:10:01,Book Box #1,James Office Books,Uhaul Unit #AA5929N,Dragons A Natural History - Dr. Karl Shuker,Books,,975-0-7607-4551-X,Hardback,,1,
7/18/2025 13:11:23,Book Box #1,James Office Books,Uhaul Unit #AA5929N,"Nordic Tales Folktales from Norway, Sweden, Finland, Iceland, and Denmark",Books,,978-1-4521-7447-1,Harback,,1,
7/18/2025 13:18:40,Book Box #1,James Office Books,Uhaul Unit #AA5929N,The Illustrated Ninja Handbook,Books,,978-4-8053-1305-3,Softback,,1,
7/18/2025 13:19:31,Book Box #1,James Office Books,Uhaul Unit #AA5929N,The Procurement and Supply Manager's Desk Reference,Books,,978-1-118-13009-4,Hardback,,1,
